gene,raw_identifier,n_masked,neural_r,knn_r,delta_r,neural_mse,knn_mse,delta_mse
MIR4533,MIR4533,98,0.8255398,0.92458314,-0.09904331,0.7506535649299622,0.4048211872577667,-0.34583237767219543
TGM2,TGM2,88,0.83562106,0.9346754,-0.09905434,0.27999165654182434,0.121565081179142,-0.15842657536268234
RNF13,RNF13,83,0.77642244,0.8754909,-0.09906846,0.3584594130516052,0.13080264627933502,-0.2276567667722702
NECAB1,NECAB1,107,0.79396003,0.8930317,-0.09907168,0.31866589188575745,0.1912652552127838,-0.12740063667297363
RN7SL459P,RN7SL459P,105,0.679676,0.77878517,-0.09910917,0.37202024459838867,0.2708643078804016,-0.10115593671798706
SLC7A13,SLC7A13,113,0.8324417,0.9315974,-0.099155724,0.3276878297328949,0.1589905172586441,-0.1686973124742508
CCAT1,CCAT1,97,0.7103188,0.80950844,-0.09918964,0.479610413312912,0.3555275499820709,-0.12408286333084106
FAM217B,FAM217B,91,0.7964868,0.8956829,-0.09919608,0.4008796513080597,0.22961314022541046,-0.17126651108264923
MIR661,MIR661,115,0.8022412,0.9015238,-0.09928262,0.4102463722229004,0.21398435533046722,-0.19626201689243317
LCE3D,LCE3D,102,0.82134354,0.92069644,-0.099352896,0.23482052981853485,0.10797057300806046,-0.1268499568104744
MIR200C,MIR200C,101,0.79749715,0.89702314,-0.09952599,0.27841174602508545,0.1506560891866684,-0.12775565683841705
NPR1,NPR1,106,0.77763885,0.8771801,-0.09954125,0.5625293254852295,0.3303166627883911,-0.23221266269683838
IMMP2L,IMMP2L,102,0.6467177,0.74630934,-0.09959161,0.5324645638465881,0.4153500497341156,-0.11711451411247253
SCARNA10,SCARNA10,107,0.8329834,0.9326939,-0.099710524,0.40542566776275635,0.22109806537628174,-0.1843276023864746
MIR4663,MIR4663,122,0.8277309,0.9274949,-0.09976399,0.3301628828048706,0.1520862877368927,-0.1780765950679779
MFN1,MFN1,122,0.8635731,0.9634115,-0.099838436,0.32371586561203003,0.11220889538526535,-0.21150697022676468
ZNF217,ZNF217,107,0.81900215,0.91895646,-0.09995431,0.37445297837257385,0.21913811564445496,-0.1553148627281189
SPRR1A,SPRR1A,114,0.8296018,0.92966115,-0.10005933,0.35233253240585327,0.17154334485530853,-0.18078918755054474
RNA5SP484,RNA5SP484,100,0.7994823,0.8996533,-0.10017103,0.4318481683731079,0.2514381408691406,-0.18041002750396729
FAM86FP,FAM86FP,103,0.83475065,0.93496597,-0.100215316,0.6339571475982666,0.25342273712158203,-0.38053441047668457
snoU13,snoU13|ENSG00000238661.1,108,0.6210629,0.72131836,-0.10025549,0.35066768527030945,0.2693397104740143,-0.08132797479629517
